DATE,COUNT
2015-01-20,1.0
2015-01-21,0.0
2015-01-22,1.0
2015-01-23,1.0
2015-01-24,0.0
2015-01-25,0.0
2015-01-26,1.0
2015-01-27,3.0
2015-01-28,3.0
2015-01-29,8.0
2015-01-30,13.0
2015-01-31,8.0
2015-02-01,11.0
2015-02-02,19.0
2015-02-03,20.0
2015-02-04,11.0
2015-02-05,13.0
2015-02-06,5.0
2015-02-07,5.0
2015-02-08,3.0
2015-02-09,7.0
2015-02-10,11.0
2015-02-11,13.0
2015-02-12,9.0
2015-02-13,2.0
2015-02-14,11.0
2015-02-15,6.0
2015-02-16,3.0
2015-02-17,9.0
2015-02-18,4.0
2015-02-19,4.0
2015-02-20,10.0
2015-02-21,10.0
2015-02-22,2.0
2015-02-23,5.0
2015-02-24,13.0
2015-02-25,7.0
2015-02-26,18.0
2015-02-27,19.0
2015-02-28,7.0
2015-03-01,8.0
2015-03-02,20.0
2015-03-03,13.0
2015-03-04,7.0
2015-03-05,6.0
2015-03-06,2.0
2015-03-07,3.0
2015-03-08,2.0
2015-03-09,20.0
2015-03-10,7.0
2015-03-11,13.0
2015-03-12,6.0
2015-03-13,12.0
2015-03-14,10.0
2015-03-15,6.0
2015-03-16,13.0
2015-03-17,17.0
2015-03-18,13.0
2015-03-19,8.0
2015-03-20,15.0
2015-03-21,9.0
2015-03-22,6.0
2015-03-23,8.0
2015-03-24,12.0
2015-03-25,14.0
2015-03-26,11.0
2015-03-27,10.0
2015-03-28,5.0
2015-03-29,8.0
2015-03-30,16.0
2015-03-31,20.0
2015-04-01,15.0
2015-04-02,7.0
2015-04-03,10.0
2015-04-04,9.0
2015-04-05,3.0
2015-04-06,10.0
2015-04-07,16.0
2015-04-08,13.0
2015-04-09,13.0
2015-04-10,8.0
2015-04-11,13.0
2015-04-12,10.0
2015-04-13,8.0
2015-04-14,13.0
2015-04-15,16.0
2015-04-16,18.0
2015-04-17,17.0
2015-04-18,7.0
2015-04-19,9.0
2015-04-20,14.0
2015-04-21,12.0
2015-04-22,7.0
2015-04-23,12.0
2015-04-24,10.0
2015-04-25,10.0
2015-04-26,14.0
2015-04-27,15.0
2015-04-28,9.0
2015-04-29,27.0
2015-04-30,14.0
2015-05-01,8.0
2015-05-02,8.0
2015-05-03,11.0
2015-05-04,11.0
2015-05-05,10.0
2015-05-06,12.0
