"COUNT","DATE"
"1","2015-01-20"
"1","2015-01-22"
"1","2015-01-23"
"1","2015-01-26"
"3","2015-01-27"
"3","2015-01-28"
"8","2015-01-29"
"13","2015-01-30"
"8","2015-01-31"
"11","2015-02-01"
"19","2015-02-02"
"20","2015-02-03"
"11","2015-02-04"
"13","2015-02-05"
"5","2015-02-06"
"5","2015-02-07"
"3","2015-02-08"
"7","2015-02-09"
"11","2015-02-10"
"13","2015-02-11"
"9","2015-02-12"
"2","2015-02-13"
"11","2015-02-14"
"6","2015-02-15"
"3","2015-02-16"
"9","2015-02-17"
"4","2015-02-18"
"4","2015-02-19"
"10","2015-02-20"
"10","2015-02-21"
"2","2015-02-22"
"5","2015-02-23"
"13","2015-02-24"
"7","2015-02-25"
"18","2015-02-26"
"19","2015-02-27"
"7","2015-02-28"
"8","2015-03-01"
"20","2015-03-02"
"13","2015-03-03"
"7","2015-03-04"
"6","2015-03-05"
"2","2015-03-06"
"3","2015-03-07"
"2","2015-03-08"
"20","2015-03-09"
"7","2015-03-10"
"13","2015-03-11"
"6","2015-03-12"
"12","2015-03-13"
"10","2015-03-14"
"6","2015-03-15"
"13","2015-03-16"
"17","2015-03-17"
"13","2015-03-18"
"8","2015-03-19"
"15","2015-03-20"
"9","2015-03-21"
"6","2015-03-22"
"8","2015-03-23"
"12","2015-03-24"
"14","2015-03-25"
"11","2015-03-26"
"10","2015-03-27"
"5","2015-03-28"
"8","2015-03-29"
"16","2015-03-30"
"20","2015-03-31"
"15","2015-04-01"
"7","2015-04-02"
"10","2015-04-03"
"9","2015-04-04"
"3","2015-04-05"
"10","2015-04-06"
"16","2015-04-07"
"13","2015-04-08"
"13","2015-04-09"
"8","2015-04-10"
"13","2015-04-11"
"10","2015-04-12"
"8","2015-04-13"
"13","2015-04-14"
"16","2015-04-15"
"18","2015-04-16"
"17","2015-04-17"
"7","2015-04-18"
"9","2015-04-19"
"14","2015-04-20"
"12","2015-04-21"
"7","2015-04-22"
"12","2015-04-23"
"10","2015-04-24"
"10","2015-04-25"
"14","2015-04-26"
"15","2015-04-27"
"9","2015-04-28"
"27","2015-04-29"
"14","2015-04-30"
"8","2015-05-01"
"8","2015-05-02"
"11","2015-05-03"
"11","2015-05-04"
"10","2015-05-05"
"12","2015-05-06"
"10","2015-05-07"
"5","2015-05-08"
"10","2015-05-09"
"4","2015-05-10"
"8","2015-05-11"
"10","2015-05-12"
"15","2015-05-13"
"10","2015-05-14"
"19","2015-05-15"
"12","2015-05-16"
"3","2015-05-17"
"12","2015-05-18"
"9","2015-05-19"
"16","2015-05-20"
"15","2015-05-21"
"10","2015-05-22"
"5","2015-05-23"
"9","2015-05-24"
"9","2015-05-25"
"21","2015-05-26"
"15","2015-05-27"
"54","2015-05-28"
"659","2015-05-29"
"324","2015-05-30"
"187","2015-05-31"
"34","2015-06-01"
"49","2015-06-02"
"51","2015-06-03"
"45","2015-06-04"
"35","2015-06-05"
"21","2015-06-06"
"21","2015-06-07"
"25","2015-06-08"
"28","2015-06-09"
"23","2015-06-10"
"38","2015-06-11"
"23","2015-06-12"
"22","2015-06-13"
"50","2015-06-14"
"36","2015-06-15"
"30","2015-06-16"
"37","2015-06-17"
"42","2015-06-18"
"20","2015-06-19"
"21","2015-06-20"
"8","2015-06-21"
"30","2015-06-22"
"36","2015-06-23"
"35","2015-06-24"
"28","2015-06-25"
"24","2015-06-26"
"15","2015-06-27"
"20","2015-06-28"
"26","2015-06-29"
"27","2015-06-30"
"30","2015-07-01"
"29","2015-07-02"
"34","2015-07-03"
"21","2015-07-04"
"34","2015-07-05"
"36","2015-07-06"
"69","2015-07-07"
"56","2015-07-08"
"64","2015-07-09"
"53","2015-07-10"
"46","2015-07-11"
"38","2015-07-12"
"41","2015-07-13"
"77","2015-07-14"
"49","2015-07-15"
"45","2015-07-16"
"70","2015-07-17"
"24","2015-07-18"
"43","2015-07-19"
"53","2015-07-20"
"46","2015-07-21"
"53","2015-07-22"
"38","2015-07-23"
"51","2015-07-24"
"47","2015-07-25"
"46","2015-07-26"
"64","2015-07-27"
"36","2015-07-28"
"47","2015-07-29"
"45","2015-07-30"
"39","2015-07-31"
"38","2015-08-01"
"36","2015-08-02"
"52","2015-08-03"
"57","2015-08-04"
"46","2015-08-05"
"44","2015-08-06"
"35","2015-08-07"
"38","2015-08-08"
"25","2015-08-09"
"49","2015-08-10"
"42","2015-08-11"
"57","2015-08-12"
"44","2015-08-13"
"39","2015-08-14"
"41","2015-08-15"
"31","2015-08-16"
"49","2015-08-17"
"37","2015-08-18"
"39","2015-08-19"
"49","2015-08-20"
"38","2015-08-21"
"34","2015-08-22"
"40","2015-08-23"
"33","2015-08-24"
"41","2015-08-25"
"38","2015-08-26"
"39","2015-08-27"
"49","2015-08-28"
"39","2015-08-29"
"41","2015-08-30"
"37","2015-08-31"
"36","2015-09-01"
"32","2015-09-02"
"35","2015-09-03"
"25","2015-09-04"
"33","2015-09-05"
"24","2015-09-06"
"34","2015-09-07"
"38","2015-09-08"
"27","2015-09-09"
"91","2015-09-10"
"510","2015-09-11"
"348","2015-09-12"
"360","2015-09-13"
"50","2015-09-14"
"47","2015-09-15"
"49","2015-09-16"
"57","2015-09-17"
"55","2015-09-18"
"34","2015-09-19"
"42","2015-09-20"
"54","2015-09-21"
"56","2015-09-22"
"53","2015-09-23"
"44","2015-09-24"
"45","2015-09-25"
"29","2015-09-26"
"30","2015-09-27"
"30","2015-09-28"
"46","2015-09-29"
"57","2015-09-30"
"56","2015-10-01"
"66","2015-10-02"
"48","2015-10-03"
"50","2015-10-04"
"42","2015-10-05"
"53","2015-10-06"
"40","2015-10-07"
"39","2015-10-08"
"33","2015-10-09"
"37","2015-10-10"
"29","2015-10-11"
"44","2015-10-12"
"40","2015-10-13"
"39","2015-10-14"
"31","2015-10-15"
"29","2015-10-16"
"25","2015-10-17"
"18","2015-10-18"
"30","2015-10-19"
"48","2015-10-20"
"63","2015-10-21"
"61","2015-10-22"
"74","2015-10-23"
"41","2015-10-24"
"33","2015-10-25"
"48","2015-10-26"
"93","2015-10-27"
"84","2015-10-28"
"78","2015-10-29"
"86","2015-10-30"
"53","2015-10-31"
"37","2015-11-01"
"63","2015-11-02"
"144","2015-11-03"
"64","2015-11-04"
"77","2015-11-05"
"55","2015-11-06"
"41","2015-11-07"
"27","2015-11-08"
"43","2015-11-09"
"67","2015-11-10"
"53","2015-11-11"
"53","2015-11-12"
"44","2015-11-13"
"40","2015-11-14"
"36","2015-11-15"
"46","2015-11-16"
"54","2015-11-17"
"51","2015-11-18"
"29","2015-11-19"
"40","2015-11-20"
"63","2015-11-21"
"28","2015-11-22"
"45","2015-11-23"
"41","2015-11-24"
"498","2015-11-25"
"428","2015-11-26"
"268","2015-11-27"
"378","2015-11-28"
"200","2015-11-29"
"369","2015-11-30"
"217","2015-12-01"
"85","2015-12-02"
"48","2015-12-03"
"52","2015-12-04"
"42","2015-12-05"
"61","2015-12-06"
"61","2015-12-07"
"76","2015-12-08"
"69","2015-12-09"
"65","2015-12-10"
"39","2015-12-11"
"83","2015-12-12"
"70","2015-12-13"
"105","2015-12-14"
"82","2015-12-15"
"74","2015-12-16"
"62","2015-12-17"
"44","2015-12-18"
"44","2015-12-19"
"28","2015-12-20"
"57","2015-12-21"
"53","2015-12-22"
"54","2015-12-23"
"30","2015-12-24"
"39","2015-12-25"
